Sample_ID,Condition,Site,Species,AFDW_mg_cm2,stdev_lipid,avg_lipid,avg_tag,avg_st,avg_ampl,avg_pspi,avg_pc,avg_lpc,avg_phospholipids,avg_lipids_per_AFDW
14,UB,FTC,OFRA,88.82172253,3.280613025,46.64025952,1.020059691,0.7040571424,0.1624025793,0.326353055,0,0.6414326097,0.9677856646,6385.157397
42,UB,FTC,OFRA,55.56401883,9.798274641,58.44172315,0.6028191065,1.052762836,0.05295756316,1.073166663,0,0.9885845131,2.061751176,8694.5029
11,UB,FTC,OFRA,51.12006662,8.265758052,49.44534829,0.4997456449,1.58587351,0.2669071366,0.4946830441,0,0.07999328359,0.5746763277,5910.967616
13,B,FTC,OFRA,38.78945383,3.355763528,34.86752451,1.779664932,0.3720599695,0,0.1993596447,0,0.3489943746,0.5483540193,4572.071169
69,B,FTC,PAST,24.92226049,2.741823342,24.13047339,1.816508565,1.537651599,0.1081608454,0.4581612924,0,0.2870265203,0.7451878127,4333.240407
61,UB,FTC,PAST,21.98967115,,,,,,,,,,
67,B,FTC,PAST,,,,,,,,,,,
68,UB,FTC,PAST,44.18490534,4.490547002,12.02536047,0.7566091884,1.11962278,0.1047590849,0.1036027267,0,0.2205598451,0.3241625718,3786.075148
65,UB,FTC,PAST,,,,,,,,,,,
63,UB,FTC,PAST,40.00173549,5.372758723,37.18038772,0.4284375189,1.394054011,0.09567415441,0.3499677826,0,0.6177859773,0.9677537599,5427.706943
66,B,FTC,PAST,36.70499347,9.255994741,30.10105847,0.155264931,1.656966667,0.1321506378,0.3279953886,0,0.572714435,0.9007098235,5262.951514
64,UB,FTC,PAST,53.31746141,11.91041461,26.03189271,0.5741448725,1.168793352,0.9930887058,1.734570924,0,0.6042794943,2.338850419,4611.061875
25,UB,FTC,OFRA,57.44792692,4.813934769,65.34582353,0.0777372582,1.719728864,0.574249211,0.8230016226,,0.6536499223,1.476651545,8874.923524
62,B,FTC,PAST,37.56167145,3.819961678,27.36689808,1.634576596,0.9485706162,0.07108146864,0.408890338,0,0.1311290579,0.5400193959,6728.814862
44,B,FTC,PAST,28.36190724,2.720206872,42.05871685,0,2.138001659,0,1.7921786,0,1.060423004,2.852601604,4621.082606
70,UB,FTC,PAST,22.96329771,7.246589869,27.57077938,1.397555873,1.407007075,0.09093578545,0.5985330397,0,0.5236792118,1.122212252,5971.679292
26,UB,FTC,OFRA,62.46219701,3.590388183,33.99540894,0.8248963572,1.235217129,0.3598016758,0.2109675962,,0.293815362,0.5047829582,5646.569653
24,B,FTC,OFRA,34.33503744,1.076505837,39.74221856,1.079932131,1.380668955,0.09906123858,0.1073171472,0,0.08969033187,0.1970074791,4841.054398
22,B,FTC,OFRA,30.59529355,5.241960822,67.83781207,0,1.200481877,0.2516675988,0.2072700791,0,0.928688616,1.135958695,6999.769684
29,B,FTC,OFRA,,,,,,,,,,,
23,B,FTC,OFRA,23.15979841,4.721608223,48.17455385,0.1069746886,0.8354135319,0.04031233193,0.7245394322,0,0.5503746897,1.274914122,6305.601691
36,UB,GMK,OFRA,78.12912592,6.659212364,38.60245033,0.9638230394,0.5699719408,0.0431984852,0.1331236453,0,0.2105577251,0.3436813704,5514.364327
37,UB,GMK,OFRA,81.81783023,1.014330719,15.24864954,0.6375899169,0.520602886,0.106582814,0.1309741851,0,0.2970394158,0.4280136009,5322.093712
40,UB,GMK,OFRA,43.35951102,9.55106279,45.057508,0.6702399072,0.6345855985,0.07007531187,0.1129163348,0,0.541022992,0.6539393268,7204.036116
41,B,GMK,PAST,28.93472578,6.929999151,20.03317416,1.902077154,1.197002683,0,0.3288423492,0,0.4146816709,0.7435240201,4700.827503
45,UB,GMK,PAST,35.48353645,2.276160756,10.5012531,2.018270429,2.012133361,0.2072261427,0.4548225321,0,0.2776294409,0.732451973,4717.411279
43,B,GMK,PAST,32.98698192,6.380804157,24.28249639,0.9853970185,2.19462,0,3.020235642,0,0.3613020934,3.381537735,4790.321648
49,UB,GMK,PAST,57.79252858,2.287117933,8.111729652,0.6553158436,0.5512581245,0.2503648296,0.3041244675,0,0.1682955791,0.4724200466,4201.527754
38,B,GMK,OFRA,45.16134905,8.487089071,42.41044242,2.119579659,2.814576255,1.208876874,0,0,0.781083016,0.781083016,6500.402282
31,B,GMK,OFRA,46.27620666,6.769407395,25.05432219,0.433819042,0.8567552627,0.07723966448,0.06381180852,0,0.5933793037,0.6571911122,6304.547491
39,UB,GMK,OFRA,68.83185333,1.084889103,19.12732364,0.5339708662,0.224771799,0.1486807697,0.06518942456,0,0.2962693866,0.3614588111,5059.996034
35,UB,GMK,OFRA,43.16016523,4.80737816,33.10235057,0,1.077378903,0.9349653588,0.4530426907,0,0.2773433336,0.7303860243,4411.948952
34,B,GMK,OFRA,45.96005624,8.69115382,48.39635166,0.1854703137,2.871951594,2.605763321,4.203380959,0,1.037320514,5.240701473,5987.671175
33,UB,GMK,OFRA,72.52037214,1.399592646,21.40098158,0.3965410156,0.836005943,0.112565309,0.1028271391,,0.06072987259,0.1635570116,3642.952898
32,B,GMK,OFRA,61.86289681,,,,,,,,,,2443.712745