ID,Species,Site,Status,L1,C1,F1,L2,C2,F2,Avg
OFRA_23,OFRA,FTC,B,1,3,3,2,6,12,7.5
OFRA_24,OFRA,FTC,B,3,6,18,4,4,16,17
OFRA_25,OFRA,FTC,UB,1,0,0,0,0,0,0
OFRA_29,OFRA,FTC,B,1,2,2,4,7,32,17
OFRA_31,OFRA,GMK,B,2,4,8,0,1,0,4
OFRA_33,OFRA,GMK,UB,1,0,0,0,0,0,0
OFRA_34,OFRA,GMK,B,1,0,0,0,0,0,0
OFRA_36,OFRA,GMK,UB,1,1,1,2,1,2,1.5
OFRA_37,OFRA,GMK,UB,0,1,0,0,0,0,0
OFRA_39,OFRA,GMK,UB,4,6,24,2,8,16,20
OFRA_40,OFRA,GMK,UB,1,0,0,0,0,0,0
PAST_61,PAST,FTC,UB,2,3,6,2,2,4,5
PAST_64,PAST,FTC,UB,0,2,0,0,1,0,0
PAST_69,PAST,FTC,B,0,1,0,0,0,0,0
OFRA_11,OFRA,FTC,UB,14,2,28,8,2,16,22
OFRA_13,OFRA,FTC,B,3,1,3,3,0,0,1.5
OFRA_14A,OFRA,FTC,UB,7,2,14,10,2,20,17
OFRA_43,OFRA,FTC,UB,0,0,0,0,0,0,0
OFRA_42,OFRA,FTC,UB,0,0,0,0,0,0,0
PAST_67,PAST,FTC,B,0,0,0,0,0,0,0
PAST_68,PAST,FTC,UB,0,0,0,0,0,0,0
PAST_65,PAST,FTC,UB,0,0,0,0,0,0,0
PAST_63,PAST,FTC,UB,0,0,0,0,0,0,0
PAST_66,PAST,FTC,B,0,0,0,0,0,0,0
PAST_62,PAST,FTC,B,0,0,0,0,0,0,0
PAST_44,PAST,FTC,B,0,0,0,0,0,0,0
PAST_70,PAST,FTC,UB,0,0,0,0,0,0,0
OFRA_26,OFRA,FTC,UB,0,0,0,0,0,0,0
OFRA_22,OFRA,FTC,B,0,0,0,0,0,0,0
PAST_41,PAST,GMK,B,0,0,0,0,0,0,0
PAST_45,PAST,GMK,UB,0,0,0,0,0,0,0
PAST_49,PAST,GMK,UB,0,0,0,0,0,0,0
OFRA_38,OFRA,GMK,B,0,0,0,0,0,0,0
OFRA_32,OFRA,GMK,B,0,0,0,0,0,0,0
OFRA_35,OFRA,GMK,UB,0,0,0,0,0,0,0