ID,Species,Site,State,Depth_m,s1,s2,s3,s4,s5,stotal,
PAST_66,PAST,FTC,B,11,0,0,0,0,0,0,
PAST_67,PAST,FTC,B,11,0,0,0,0,0,0,
PAST_68,PAST,FTC,UB,11,0,0,0,0,0,0,
PAST_69,PAST,FTC,B,11,0,3,3,0,1,7,
PAST_70,PAST,FTC,UB,11,0,0,0,0,0,0,
OFRA_11,OFRA,FTC,UB,11,3,5,1,0,0,9,
OFRA_13,OFRA,FTC,B,11,0,0,0,0,0,0,has eggs 
OFRA_14A,OFRA,FTC,UB,11,0,0,8,10,32,50,
OFRA_14B,OFRA,FTC,UB,11,1,1,6,0,14,22,
OFRA_22,OFRA,FTC,B,11,0,0,0,0,0,0,
PAST_41,PAST,GMK,B,40,0,0,0,0,0,0,
PAST_43,PAST,GMK,B,40,0,0,0,0,0,0,
PAST_44,PAST,FTC,B,11,0,0,0,0,0,0,
PAST_45,PAST,GMK,UB,40,0,0,0,0,0,0,
PAST_49,PAST,GMK,UB,40,0,0,0,0,0,0,
PAST_61,PAST,FTC,UB,11,1,5,0,0,0,6,
PAST_62,PAST,FTC,B,11,0,0,0,0,0,0,
PAST_63,PAST,FTC,UB,11,0,0,0,0,0,0,
PAST_64,PAST,FTC,UB,11,0,0,0,0,0,0,
PAST_65,PAST,FTC,UB,11,0,0,0,0,0,0,
OFRA_36,OFRA,GMK,UB,40,0,0,0,0,0,0,has eggs 
OFRA_37,OFRA,GMK,UB,40,0,0,0,0,0,0,has 1 egg
OFRA_38,OFRA,GMK,B,40,0,0,0,0,0,0,
OFRA_39,OFRA,GMK,UB,40,4,2,0,0,0,6,
OFRA_40,OFRA,GMK,UB,40,0,0,0,0,0,0,has eggs 
OFRA_42,OFRA,FTC,UB,11,0,0,0,0,0,0,
OFRA_23,OFRA,FTC,B,11,0,0,0,0,0,0,has eggs 
OFRA_24,OFRA,FTC,B,11,0,0,0,0,0,0,has eggs 
OFRA_25,OFRA,FTC,UB,11,0,0,0,0,0,0,has one egg
OFRA_26,OFRA,FTC,UB,11,0,0,0,0,0,0,
OFRA_29,OFRA,FTC,B,11,0,0,0,0,0,0,has eggs 
OFRA_31,OFRA,GMK,B,40,0,0,0,0,0,0,has eggs 
OFRA_32,OFRA,GMK,B,40,0,0,0,0,0,0,
OFRA_33,OFRA,GMK,UB,40,0,0,0,0,0,0,has 1 egg
OFRA_34,OFRA,GMK,B,40,0,0,0,0,0,0,has a couple eggs 
OFRA_35,OFRA,GMK,UB,40,0,0,0,0,0,0,