ID,Species,Site,Condition,Date,Avg_A,Avg_B,Avg_C,Avg_D,Avg_Sum,Prop_A,Prop_B,Prop_C,Prop_D,Sum_Prop
11,OFRA,FTC,UB,2026-03-01,80.71030174,168.8353487,1.600599841,342.7196862,593.8659364,0.135906602,0.284298759,0.002695221,0.577099418,1
13,OFRA,FTC,B,2026-03-01,0,43.59447057,0,5627.76405286665,5671.35852343919,0,0.007686777,0,0.992313223,1
23,OFRA,FTC,B,2026-03-01,9.696345237,157.1379529,0.352743119,18692.8870386328,18860.0740799106,0.00051412,0.008331778,1.87031671779379E-05,0.991135398,1
24,OFRA,FTC,B,2026-03-01,0,724.30187103843,26.5830874,21626.6194990991,22377.5044575362,0,0.03236741,0.001187938,0.966444652,1
25,OFRA,FTC,UB,2026-03-01,0,112.6374101,0,8972.55281515148,9085.19022520826,0,0.012397914,0,0.987602086,1
26,OFRA,FTC,UB,2026-03-01,0,52.73837496,0.340989098,3087.12947299985,3140.2088370581,0,0.016794544,0.000108588,0.983096868,1
29,OFRA,FTC,B,2026-03-01,247.4222984,16.00931458,2.375039035,23985.2747763507,24251.0814283805,0.010202526,0.000660148,9.79353865830675E-05,0.98903939,1
31,OFRA,GMK,B,2026-03-01,443.99295,0,95123.6527822912,0,95567.6457323316,0.00464585,0,0.99535415,0,1
32,OFRA,GMK,B,2026-03-01,122.3814322,12.89465852,1493.80842179138,0,1629.08451249674,0.075122826,0.007915279,0.916961895,0,1
36,OFRA,GMK,UB,2026-03-01,25.2236983,0,18511.0032757123,1.88010873,18538.1070827401,0.00136064,0,0.998537941,0.000101419,1
37,OFRA,GMK,UB,2026-03-01,0,0,47903.5452568593,2.937078068,47906.4823349278,0,0,0.999938691,6.13085729800087E-05,1
39,OFRA,GMK,UB,2026-03-01,0,0,38891.7638172085,0,38891.7638172085,0,0,1,0,1
42,OFRA,FTC,UB,2026-03-01,23.79004017,52.56994355,0,24325.6687912314,24402.0287749502,0.000974921,0.002154327,0,0.996870753,1
44,PAST,FTC,B,2026-03-01,48354.0234295651,100.7183613,49.33813816,0,48504.0799290743,0.996906312,0.002076493,0.001017196,0,1
49,PAST,GMK,UB,2026-03-01,74.52451929,0,110941.0763,0,111015.6008,0.000671298,0,0.999328702,0,1
62,PAST,FTC,B,2026-03-01,41892.9199746344,0,0,8.42044565,41901.34042,0.999799041,0,0,0.000200959,1
64,PAST,FTC,UB,2026-03-01,85026.5287712682,0,0,18.97352342,85045.5022946835,0.999776902,0,0,0.000223098,1
66,PAST,FTC,B,2026-03-01,63248.8169078715,0,9.866922873,2.362571011,63261.0464017555,0.999806682,0,0.000155972,3.73463789379989E-05,1
67,PAST,FTC,B,2026-03-01,37388.8978024479,0,56.84809712,2431.42571108668,39877.1716106559,0.937601547,0,0.00142558,0.060972873,1
68,PAST,FTC,UB,2026-03-01,44754.8587661004,0,68.46284788,0,44823.3216139797,0.998472607,0,0.001527393,0,1
70,PAST,FTC,UB,2026-03-01,31576.5160910087,0,0.963174716,6.878094316,31584.3573600408,0.999751736,0,3.04953083378336E-05,0.000217769,1
45,PAST,GMK,UB,2026-03-01,0,0,7634.12757516683,1.952641435,7636.08021660139,0,0,0.999744287,0.000255713,1
41,PAST,GMK,B,2026-03-01,38309.7143300499,0,0.569723576,0,38310.2840536256,0.999985129,0,1.48712960457442E-05,0,1
63,PAST,FTC,UB,2026-03-01,217655.2346,6.713411521,51.81139063,52.1668533,217765.9262,0.999491694,3.0828567338252E-05,0.000237922,0.000239555,1
14,OFRA,FTC,UB,2026-03-01,57.27669516,779.2466683,14.34189539,40529.6164797619,41380.4817386246,0.001384148,0.018831261,0.000346586,0.979438005,1
22,OFRA,FTC,B,2026-03-01,4155.81193497928,0,27.78727589,2084.99550208217,6268.59471294767,0.662957509,0,0.004432776,0.332609715,1
33,OFRA,GMK,UB,2026-03-01,21.10985417,0,58459.3086820096,3.695976415,58484.1145125947,0.00036095,0,0.999575854,6.31962447464862E-05,1
34,OFRA,GMK,B,2026-03-01,0,0,202.61434975752,0.407121668,203.0214714,0,0,0.997994687,0.002005313,1
35,OFRA,GMK,UB,2026-03-01,0,0,0,0,0,0,0,0,0,0
38,OFRA,GMK,B,2026-03-01,0,2.204835004,86960.0134436041,0,86962.2182786083,0,2.53539416064936E-05,0.999974646,0,1
40,OFRA,GMK,UB,2026-03-01,0,9.845266818,1503.76874977762,0.997615825,1514.61163242101,0,0.006500192,0.992841147,0.000658661,1
61,PAST,FTC,UB,2026-03-01,17116.8606850551,0,7.283340858,0,17124.14403,0.999574674,0,0.000425326,0,1
65,PAST,FTC,UB,2026-03-01,6522.4682072585,0,4.298157665,1.155361785,6527.92172670906,0.999164586,0,0.000658427,0.000176988,1
69,PAST,FTC,B,2026-03-01,5238.95729245851,0,1904.68195463958,0,7143.63924709808,0.73337372,0,0.26662628,0,1